Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent (),Encoder (),Time (ms)
0,170.67,1.77,-0.11,13.77,194583.0,1376.0,194592.0,132018.0
1,171.32,1.77,-0.11,13.77,194638.0,274.0,194592.0,131968.0
2,170.67,1.77,-0.11,13.77,194583.0,1376.0,194592.0,132018.0
3,170.21,0.0,0.0,4255.21,187468.0,60584.0,0.0,361.0
4,168.48,0.0,21.28,1552.59,184823.0,60467.0,0.0,411.0
5,164.27,0.11,29.04,210.98,181755.0,59809.0,0.0,462.0
6,158.45,0.25,30.09,-429.47,178407.0,63014.0,0.0,513.0
7,152.02,0.4,27.95,-697.87,175071.0,62878.0,0.0,563.0
8,146.93,0.54,24.46,-738.38,171745.0,62747.0,0.0,613.0
9,141.46,0.66,20.77,-719.38,168407.0,62994.0,0.0,664.0
10,132.81,0.77,17.17,-745.53,164407.0,63162.0,0.0,714.0
11,126.43,0.85,13.44,-653.62,161068.0,63039.0,0.0,764.0
12,119.51,0.92,10.17,-586.19,157735.0,62716.0,0.0,815.0
13,112.09,0.97,7.24,-532.49,154394.0,63279.0,0.0,865.0
14,104.32,1.01,4.58,-484.54,151062.0,62978.0,0.0,916.0
15,95.46,1.03,2.16,-460.35,147722.0,62984.0,0.0,966.0
16,89.15,1.04,-0.15,-357.22,144388.0,63279.0,0.0,1016.0
17,81.54,1.04,-1.93,-322.47,141049.0,63147.0,0.0,1067.0
18,74.24,1.03,-3.54,-279.28,137708.0,62992.0,0.0,1117.0
19,67.7,1.01,-4.94,-223.89,134374.0,63358.0,0.0,1168.0
20,60.45,0.99,-6.06,-203.5,131035.0,62653.0,0.0,1218.0
21,55.18,0.96,-7.08,-132.33,127702.0,62939.0,0.0,1268.0
22,48.5,0.92,-7.74,-128.22,124368.0,63358.0,0.0,1318.0
23,42.67,0.88,-8.38,-96.95,121029.0,62574.0,0.0,1370.0
24,39.75,0.84,-8.86,-4.61,117689.0,62849.0,0.0,1420.0
25,34.04,0.8,-8.89,-33.71,114354.0,63304.0,0.0,1470.0
26,29.63,0.75,-9.06,-11.85,111022.0,62697.0,0.0,1520.0
27,29.04,0.71,-9.12,93.92,107682.0,62722.0,0.0,1570.0
28,24.12,0.66,-8.65,26.22,104341.0,63077.0,0.0,1622.0
29,22.71,0.62,-8.51,82.61,101009.0,62468.0,0.0,1672.0
30,24.44,0.58,-8.1,180.73,97675.0,62643.0,0.0,1722.0
31,22.47,0.54,-7.2,119.71,94334.0,63003.0,0.0,1772.0
32,21.96,0.5,-6.6,122.23,90996.0,62693.0,0.0,1823.0
33,28.14,0.47,-5.99,282.75,87662.0,62586.0,0.0,1873.0
34,30.33,0.44,-4.57,235.64,84328.0,62986.0,0.0,1924.0
35,31.51,0.41,-3.4,175.03,80321.0,63272.0,0.0,1974.0
36,40.01,0.4,-2.52,320.67,76982.0,63053.0,0.0,2024.0
37,43.44,0.39,-0.92,237.4,73648.0,62601.0,0.0,2075.0
38,47.51,0.38,0.27,202.38,70308.0,63294.0,0.0,2125.0
39,57.38,0.38,1.28,319.2,66976.0,63113.0,0.0,2176.0
40,61.86,0.39,2.88,215.59,63635.0,62766.0,0.0,2226.0
41,65.27,0.4,3.96,130.32,60294.0,63383.0,0.0,2277.0
42,76.95,0.42,4.61,291.43,56962.0,63165.0,0.0,2327.0
43,83.1,0.45,6.06,205.33,53628.0,62597.0,0.0,2377.0
44,85.82,0.48,7.09,69.19,50288.0,63382.0,0.0,2427.0
45,98.74,0.51,7.44,260.4,46949.0,63013.0,0.0,2479.0
46,106.06,0.55,8.74,187.8,43615.0,62551.0,0.0,2529.0
47,108.15,0.59,9.68,13.34,40281.0,62668.0,0.0,2579.0
48,118.63,0.64,9.74,146.15,36942.0,63039.0,0.0,2629.0
49,126.85,0.69,10.47,138.37,33608.0,62551.0,0.0,2680.0
50,129.4,0.74,11.17,-15.27,30268.0,62666.0,0.0,2731.0
51,137.9,0.8,11.09,67.27,26935.0,62895.0,0.0,2781.0
52,145.95,0.85,11.43,87.75,23595.0,62557.0,0.0,2831.0
53,144.91,0.91,11.87,-136.0,20290.0,598.0,0.0,2881.0
54,147.86,0.97,11.19,-125.51,17366.0,35.0,0.0,2932.0
55,153.25,1.03,10.56,-52.12,14871.0,136.0,0.0,2982.0
56,153.61,1.08,10.3,-142.49,12784.0,491.0,0.0,3033.0
57,154.38,1.13,9.58,-162.9,11115.0,1421.0,0.0,3083.0
58,157.08,1.18,8.77,-113.31,9860.0,539.0,0.0,3134.0
59,158.61,1.22,8.2,-114.02,8906.0,898.0,0.0,3184.0
60,157.95,1.26,7.63,-161.75,8569.0,2205.0,0.0,3234.0
61,158.06,1.3,6.82,-153.47,8640.0,3471.0,0.0,3284.0
62,157.8,1.33,6.06,-149.28,9142.0,3275.0,0.0,3335.0
63,158.46,1.37,5.31,-115.05,10063.0,4146.0,0.0,3386.0
64,154.79,1.39,4.74,-201.39,11398.0,65447.0,0.0,3436.0
65,158.54,1.42,3.73,-41.06,12662.0,64578.0,0.0,3486.0
66,159.65,1.43,3.52,-34.13,13554.0,64292.0,0.0,3536.0
67,162.63,1.45,3.35,17.56,14144.0,63624.0,0.0,3588.0
68,160.26,1.47,3.44,-94.49,14485.0,63563.0,0.0,3638.0
69,159.68,1.49,2.97,-93.08,14673.0,63320.0,0.0,3688.0
70,157.16,1.5,2.5,-134.98,14830.0,62894.0,0.0,3738.0
71,157.07,1.51,1.83,-84.11,15004.0,63158.0,0.0,3789.0
72,156.39,1.52,1.41,-71.44,15130.0,62607.0,0.0,3840.0
73,155.13,1.53,1.05,-75.87,15227.0,62779.0,0.0,3890.0
74,155.91,1.53,0.67,-21.92,15296.0,63028.0,0.0,3940.0
75,157.49,1.54,0.56,22.7,15351.0,62961.0,0.0,3990.0
76,157.17,1.54,0.67,-6.33,15384.0,64578.0,0.0,4041.0
77,155.69,1.54,0.64,-47.91,15406.0,65276.0,0.0,4091.0
78,155.82,1.55,0.4,-22.8,15442.0,64183.0,0.0,4142.0
79,156.26,1.55,0.29,-2.56,15473.0,65406.0,0.0,4192.0
80,155.69,1.55,0.28,-18.82,15491.0,209.0,0.0,4242.0
81,155.64,1.55,0.18,-11.72,15502.0,706.0,0.0,4293.0
82,155.93,1.55,0.12,0.54,15518.0,230.0,0.0,4343.0
83,155.84,1.55,0.13,-3.55,15524.0,869.0,0.0,4393.0
84,156.33,1.55,0.11,9.32,15527.0,545.0,0.0,4444.0
85,156.27,1.55,0.16,0.73,15542.0,194.0,0.0,4495.0
86,156.01,1.56,0.16,-8.29,15550.0,64958.0,0.0,4545.0
87,156.1,1.56,0.12,-2.89,15551.0,91.0,0.0,4595.0
88,156.39,1.56,0.1,4.66,15558.0,26.0,0.0,4645.0
89,156.77,1.56,0.13,10.08,15565.0,258.0,0.0,4697.0
90,156.54,1.56,0.18,-3.62,15573.0,154.0,0.0,4747.0
91,156.32,1.56,0.16,-8.98,15577.0,74.0,0.0,4797.0
92,156.46,1.56,0.11,-1.95,15584.0,532.0,0.0,4847.0
93,156.47,1.56,0.1,-1.75,15594.0,159.0,0.0,4897.0
94,155.89,1.56,0.1,-16.6,15603.0,65520.0,0.0,4948.0
95,155.38,1.56,0.01,-20.26,15605.0,125.0,0.0,4999.0
96,156.25,1.56,-0.09,14.11,15608.0,232.0,0.0,5049.0
97,156.71,1.56,-0.02,17.83,15608.0,65507.0,0.0,5099.0
98,156.64,1.56,0.07,5.11,15606.0,492.0,0.0,5150.0
99,156.3,1.56,0.1,-7.39,15605.0,428.0,0.0,5200.0
100,155.23,1.56,0.06,-30.65,15607.0,65294.0,0.0,5251.0
101,155.62,1.56,-0.09,-2.61,15610.0,376.0,0.0,5301.0
102,155.21,1.56,-0.11,-10.04,15613.0,850.0,0.0,5352.0
103,156.58,1.56,-0.16,31.87,15611.0,586.0,0.0,5402.0
104,156.46,1.56,0.0,10.9,15608.0,1.0,0.0,5452.0
105,156.31,1.56,0.06,0.45,15604.0,65070.0,0.0,5502.0
106,156.07,1.56,0.06,-6.76,15602.0,64957.0,0.0,5553.0
107,155.95,1.56,0.03,-6.28,15602.0,65084.0,0.0,5604.0
108,156.07,1.56,-0.01,0.34,15603.0,65331.0,0.0,5654.0
109,155.38,1.56,-0.0,-16.84,15604.0,64900.0,0.0,5704.0
110,156.23,1.56,-0.09,15.0,15604.0,64599.0,0.0,5754.0
111,156.22,1.56,-0.01,6.33,15604.0,65324.0,0.0,5806.0
112,156.38,1.56,0.02,6.56,15602.0,65087.0,0.0,5856.0
113,156.68,1.56,0.05,9.65,15598.0,516.0,0.0,5906.0
114,156.23,1.56,0.1,-8.25,15599.0,65297.0,0.0,5956.0
115,155.68,1.56,0.06,-17.97,15601.0,65463.0,0.0,6007.0
116,155.82,1.56,-0.03,-4.05,15605.0,65439.0,0.0,6057.0
117,156.42,1.56,-0.05,13.92,15607.0,111.0,0.0,6108.0
118,155.98,1.56,0.02,-5.16,15607.0,350.0,0.0,6158.0
119,156.27,1.56,-0.01,5.27,15607.0,525.0,0.0,6208.0
120,155.9,1.56,0.02,-7.34,15607.0,206.0,0.0,6259.0
121,155.91,1.56,-0.02,-2.78,15606.0,939.0,0.0,6309.0
122,156.24,1.56,-0.03,7.62,15607.0,318.0,0.0,6360.0
123,155.99,1.56,0.01,-3.15,15607.0,350.0,0.0,6410.0
124,157.05,1.56,-0.01,25.42,15606.0,142.0,0.0,6460.0
125,155.81,1.56,0.12,-21.42,15606.0,30.0,0.0,6511.0
126,156.09,1.56,0.01,-2.47,15606.0,65519.0,0.0,6561.0
127,156.15,1.56,-0.0,0.56,15609.0,65301.0,0.0,6611.0
128,156.32,1.56,0.0,4.45,15609.0,403.0,0.0,6662.0
129,156.15,1.56,0.02,-2.74,15610.0,232.0,0.0,6713.0
130,155.98,1.56,0.01,-5.52,15609.0,284.0,0.0,6763.0
131,156.0,1.56,-0.02,-1.58,15611.0,599.0,0.0,6813.0
132,156.2,1.56,-0.03,4.66,15611.0,593.0,0.0,6863.0
133,155.75,1.56,-0.0,-9.15,15611.0,517.0,0.0,6914.0
134,156.31,1.56,-0.05,10.65,15611.0,390.0,0.0,6965.0
135,155.74,1.56,0.0,-9.83,15611.0,334.0,0.0,7015.0
136,156.6,1.56,-0.05,17.72,15609.0,1026.0,0.0,7065.0
137,155.59,1.56,0.04,-17.86,15609.0,152.0,0.0,7115.0
138,156.13,1.56,-0.05,6.2,15606.0,540.0,0.0,7166.0
139,155.74,1.56,-0.01,-6.93,15606.0,1369.0,0.0,7217.0
140,156.03,1.56,-0.05,4.81,15606.0,65406.0,0.0,7267.0
141,155.95,1.56,-0.03,0.42,15606.0,62.0,0.0,7317.0
142,156.15,1.56,-0.02,5.49,15603.0,45.0,0.0,7367.0
143,156.25,1.56,0.0,4.96,15602.0,200.0,0.0,7418.0
144,155.54,1.56,0.03,-15.84,15599.0,1211.0,0.0,7469.0
145,155.81,1.56,-0.05,0.32,15600.0,65267.0,0.0,7519.0
146,155.9,1.56,-0.05,2.95,15601.0,64603.0,0.0,7570.0
147,156.69,1.56,-0.03,21.57,15600.0,65069.0,0.0,7620.0
148,156.07,1.56,0.07,-7.13,15597.0,64856.0,0.0,7670.0
149,155.55,1.56,0.04,-16.43,15595.0,64944.0,0.0,7720.0
150,155.67,1.56,-0.04,-3.63,15597.0,65070.0,0.0,7771.0
151,156.04,1.56,-0.06,8.41,15597.0,82.0,0.0,7821.0
152,156.27,1.56,-0.02,9.75,15597.0,65362.0,0.0,7872.0
153,155.78,1.56,0.03,-8.53,15594.0,54.0,0.0,7922.0
154,156.03,1.56,-0.01,2.86,15592.0,674.0,0.0,7972.0
155,156.84,1.56,0.0,21.3,15594.0,65244.0,0.0,8024.0
156,156.15,1.56,0.11,-9.26,15592.0,26.0,0.0,8074.0
157,155.97,1.56,0.06,-9.22,15594.0,65363.0,0.0,8124.0
158,155.84,1.56,0.01,-7.42,15601.0,64903.0,0.0,8174.0
159,156.56,1.56,-0.02,15.08,15602.0,224.0,0.0,8224.0
160,155.84,1.56,0.05,-12.11,15603.0,65501.0,0.0,8275.0
161,155.61,1.56,-0.01,-11.02,15603.0,81.0,0.0,8326.0
162,156.39,1.56,-0.06,15.42,15602.0,1296.0,0.0,8376.0
163,156.19,1.56,0.01,1.55,15604.0,416.0,0.0,8426.0
164,155.7,1.56,0.02,-11.63,15603.0,65520.0,0.0,8477.0
165,155.97,1.56,-0.04,1.98,15603.0,64131.0,0.0,8527.0
166,156.51,1.56,-0.03,14.83,15604.0,65328.0,0.0,8578.0
167,156.45,1.56,0.05,4.29,15603.0,65264.0,0.0,8628.0
168,155.56,1.56,0.07,-21.25,15601.0,65248.0,0.0,8679.0
169,155.78,1.56,-0.04,-3.22,15604.0,64185.0,0.0,8729.0
170,156.77,1.56,-0.05,23.92,15602.0,65466.0,0.0,8779.0
171,156.07,1.56,0.07,-7.81,15604.0,65167.0,0.0,8829.0
172,155.62,1.56,0.03,-15.19,15602.0,65504.0,0.0,8880.0
173,156.29,1.56,-0.05,10.8,15604.0,65486.0,0.0,8931.0
174,155.76,1.56,0.01,-8.58,15605.0,157.0,0.0,8981.0
175,155.91,1.56,-0.04,0.32,15604.0,65534.0,0.0,9031.0
176,155.82,1.56,-0.04,-1.62,15604.0,14.0,0.0,9081.0
177,156.11,1.56,-0.04,7.26,15604.0,65409.0,0.0,9133.0
178,155.72,1.56,-0.01,-6.56,15602.0,65524.0,0.0,9183.0
179,156.29,1.56,-0.04,11.87,15601.0,65531.0,0.0,9233.0
180,155.94,1.56,0.02,-3.87,15601.0,64858.0,0.0,9283.0
181,155.95,1.56,-0.0,-1.49,15597.0,64173.0,0.0,9334.0
182,156.02,1.56,-0.01,1.25,15596.0,64640.0,0.0,9384.0
183,156.39,1.56,-0.0,9.79,15596.0,64538.0,0.0,9435.0
184,156.16,1.56,0.05,-1.93,15596.0,65178.0,0.0,9485.0
185,155.78,1.56,0.04,-10.74,15595.0,517.0,0.0,9535.0
186,155.94,1.56,-0.02,-0.69,15598.0,65325.0,0.0,9586.0
187,156.6,1.56,-0.02,16.58,15600.0,65465.0,0.0,9636.0
188,156.44,1.56,0.06,2.45,15600.0,65324.0,0.0,9687.0
189,156.26,1.56,0.08,-4.49,15600.0,65180.0,0.0,9737.0
190,156.06,1.56,0.05,-7.65,15601.0,65369.0,0.0,9788.0
191,156.27,1.56,0.02,1.68,15604.0,65454.0,0.0,9838.0
192,156.36,1.56,0.02,2.85,15606.0,302.0,0.0,9888.0
193,156.35,1.56,0.04,0.37,15607.0,493.0,0.0,9938.0
194,156.1,1.56,0.04,-6.55,15608.0,666.0,0.0,9989.0
195,155.91,1.56,0.01,-7.56,15611.0,752.0,0.0,10040.0
196,165.45,1.56,-0.03,235.53,15614.0,525.0,0.0,10090.0
197,171.03,1.56,1.15,228.29,15617.0,65489.0,0.0,10140.0
198,157.4,1.57,2.29,-269.66,15615.0,330.0,0.0,10190.0
199,156.96,1.58,0.94,-140.75,15680.0,63800.0,0.0,10242.0
200,155.99,1.58,0.24,-88.6,15771.0,63153.0,0.0,10292.0
201,157.39,1.58,-0.21,-1.28,15845.0,64456.0,0.0,10342.0
202,156.41,1.58,-0.21,-22.36,15847.0,286.0,0.0,10392.0
203,154.84,1.58,-0.33,-45.03,15833.0,65103.0,0.0,10443.0
204,154.61,1.58,-0.55,-18.44,15824.0,64651.0,0.0,10493.0
205,155.74,1.58,-0.64,28.04,15802.0,319.0,0.0,10544.0
206,155.39,1.58,-0.5,9.92,15776.0,65052.0,0.0,10594.0
207,154.85,1.57,-0.45,-3.44,15743.0,64878.0,0.0,10644.0
208,154.36,1.57,-0.47,-7.87,15719.0,64819.0,0.0,10695.0
209,155.28,1.57,-0.51,25.79,15693.0,65221.0,0.0,10745.0
210,155.34,1.57,-0.38,17.44,15672.0,65130.0,0.0,10796.0
211,155.07,1.56,-0.29,4.67,15646.0,65498.0,0.0,10846.0
212,154.39,1.56,-0.27,-11.63,15630.0,65005.0,0.0,10897.0
213,155.1,1.56,-0.33,16.86,15615.0,64674.0,0.0,10947.0
214,155.48,1.56,-0.24,19.84,15604.0,64355.0,0.0,10997.0
215,155.66,1.56,-0.14,15.1,15584.0,65362.0,0.0,11047.0
216,155.6,1.56,-0.07,5.86,15574.0,65133.0,0.0,11098.0
217,155.54,1.56,-0.04,1.65,15567.0,65300.0,0.0,11149.0
218,155.97,1.56,-0.03,11.74,15564.0,65133.0,0.0,11199.0
219,155.73,1.56,0.03,-1.22,15560.0,65238.0,0.0,11249.0
220,155.47,1.56,0.02,-7.22,15559.0,65262.0,0.0,11299.0
221,155.87,1.56,-0.01,7.05,15559.0,104.0,0.0,11351.0
222,156.6,1.56,0.02,21.08,15561.0,65476.0,0.0,11401.0
223,156.23,1.56,0.13,-1.78,15561.0,546.0,0.0,11451.0
224,155.86,1.56,0.12,-11.47,15564.0,65346.0,0.0,11501.0
225,156.33,1.56,0.06,6.07,15572.0,65338.0,0.0,11552.0
226,156.06,1.56,0.09,-5.29,15576.0,65257.0,0.0,11602.0
227,155.61,1.56,0.06,-14.34,15577.0,65015.0,0.0,11653.0
228,156.35,1.56,-0.01,12.28,15580.0,428.0,0.0,11703.0
229,156.37,1.56,0.05,5.31,15583.0,593.0,0.0,11753.0
230,155.94,1.56,0.08,-9.51,15585.0,431.0,0.0,11804.0
231,156.27,1.56,0.03,3.86,15588.0,631.0,0.0,11854.0
232,156.27,1.56,0.05,1.04,15597.0,82.0,0.0,11905.0
233,156.23,1.56,0.06,-1.46,15600.0,65193.0,0.0,11955.0
234,155.9,1.56,0.05,-9.48,15600.0,64701.0,0.0,12006.0
235,155.73,1.56,0.0,-8.39,15601.0,65187.0,0.0,12056.0
236,156.42,1.56,-0.04,14.08,15602.0,65278.0,0.0,12106.0
237,156.3,1.56,0.03,2.77,15602.0,64778.0,0.0,12156.0
238,155.95,1.56,0.04,-8.17,15601.0,65165.0,0.0,12208.0
239,156.11,1.56,0.0,0.59,15601.0,65231.0,0.0,12258.0
240,155.58,1.56,0.01,-13.26,15602.0,65120.0,0.0,12308.0
241,156.04,1.56,-0.06,6.58,15602.0,64732.0,0.0,12358.0
242,155.95,1.56,-0.03,1.01,15602.0,65529.0,0.0,12408.0
243,156.35,1.56,-0.02,10.74,15602.0,64576.0,0.0,12460.0
244,156.27,1.56,0.03,2.29,15601.0,65183.0,0.0,12510.0
245,156.41,1.56,0.04,3.87,15600.0,64886.0,0.0,12560.0
246,156.23,1.56,0.06,-3.5,15600.0,64847.0,0.0,12610.0
247,155.78,1.56,0.05,-13.53,15601.0,65045.0,0.0,12661.0
248,155.67,1.56,-0.02,-8.25,15603.0,1088.0,0.0,12711.0
249,156.61,1.56,-0.06,20.65,15605.0,175.0,0.0,12762.0
250,156.76,1.56,0.04,12.35,15605.0,205.0,0.0,12812.0
251,155.92,1.56,0.1,-16.92,15604.0,589.0,0.0,12862.0
252,155.65,1.56,0.02,-14.43,15605.0,175.0,0.0,12913.0
253,156.19,1.56,-0.06,7.82,15609.0,263.0,0.0,12963.0
254,156.03,1.56,-0.02,-0.19,15610.0,470.0,0.0,13014.0
255,156.21,1.56,-0.02,4.55,15609.0,418.0,0.0,13064.0
256,156.09,1.56,0.01,-1.09,15609.0,200.0,0.0,13115.0
257,156.47,1.56,0.0,9.15,15608.0,308.0,0.0,13165.0
258,156.46,1.56,0.05,3.03,15608.0,124.0,0.0,13215.0
259,156.41,1.56,0.06,-0.64,15607.0,65440.0,0.0,13265.0
260,155.91,1.56,0.06,-13.44,15609.0,108.0,0.0,13316.0
261,156.07,1.56,-0.01,-1.95,15610.0,991.0,0.0,13367.0
262,156.64,1.56,-0.02,13.63,15615.0,536.0,0.0,13417.0
263,156.58,1.56,0.05,3.95,15617.0,71.0,0.0,13467.0
264,156.17,1.56,0.07,-9.36,15615.0,465.0,0.0,13517.0
265,156.09,1.56,0.02,-6.37,15617.0,430.0,0.0,13569.0
266,156.17,1.56,-0.01,-0.66,15621.0,237.0,0.0,13619.0
267,155.84,1.56,-0.01,-8.34,15622.0,65527.0,0.0,13669.0
268,156.12,1.56,-0.06,4.06,15622.0,65027.0,0.0,13719.0
269,155.99,1.56,-0.03,-1.2,15620.0,299.0,0.0,13770.0
270,156.07,1.56,-0.04,1.99,15616.0,16.0,0.0,13820.0
271,155.72,1.56,-0.03,-7.37,15615.0,65465.0,0.0,13871.0
272,156.44,1.56,-0.07,15.67,15612.0,128.0,0.0,13921.0
273,156.45,1.56,0.01,6.92,15611.0,78.0,0.0,13971.0
274,155.91,1.56,0.05,-11.18,15609.0,0.0,0.0,14022.0
275,156.13,1.56,-0.01,0.86,15609.0,65519.0,0.0,14072.0
276,156.39,1.56,-0.01,6.87,15608.0,433.0,0.0,14123.0
277,156.38,1.56,0.03,2.45,15610.0,155.0,0.0,14173.0
278,156.65,1.56,0.04,7.39,15610.0,169.0,0.0,14224.0
279,156.72,1.56,0.08,3.87,15611.0,65438.0,0.0,14274.0
280,156.82,1.56,0.1,3.09,15612.0,427.0,0.0,14324.0
281,156.6,1.56,0.11,-5.46,15617.0,473.0,0.0,14374.0
282,156.19,1.56,0.08,-13.88,15624.0,759.0,0.0,14426.0
283,156.43,1.56,0.02,-0.25,15629.0,65375.0,0.0,14476.0
284,156.69,1.56,0.01,6.33,15632.0,65456.0,0.0,14526.0
285,156.85,1.56,0.05,6.21,15632.0,463.0,0.0,14576.0
286,156.46,1.56,0.08,-8.07,15632.0,638.0,0.0,14626.0
287,155.94,1.56,0.04,-17.02,15633.0,1449.0,0.0,14678.0
288,156.35,1.56,-0.05,3.39,15639.0,854.0,0.0,14728.0
289,156.63,1.56,-0.03,8.9,15641.0,76.0,0.0,14778.0
290,156.49,1.56,0.01,0.32,15639.0,762.0,0.0,14828.0
291,156.61,1.56,0.01,2.97,15637.0,1963.0,0.0,14879.0
292,156.63,1.56,0.03,1.33,15639.0,730.0,0.0,14929.0
293,156.42,1.56,0.04,-5.08,15639.0,742.0,0.0,14980.0
294,156.44,1.56,0.01,-1.75,15640.0,617.0,0.0,15030.0
295,156.51,1.56,0.0,1.02,15643.0,821.0,0.0,15080.0
296,156.69,1.56,0.01,4.77,15643.0,826.0,0.0,15131.0
297,155.83,1.56,0.03,-19.76,15644.0,304.0,0.0,15181.0
298,156.47,1.56,-0.07,8.05,15644.0,357.0,0.0,15232.0
299,156.57,1.56,-0.03,6.48,15647.0,500.0,0.0,15282.0
300,156.78,1.56,0.0,7.99,15646.0,131.0,0.0,15333.0
301,156.11,1.56,0.04,-13.91,15641.0,1231.0,0.0,15383.0
302,155.86,1.56,-0.02,-11.99,15639.0,696.0,0.0,15433.0
303,156.39,1.56,-0.08,9.05,15641.0,542.0,0.0,15483.0
304,156.3,1.56,-0.04,2.25,15639.0,630.0,0.0,15535.0
305,155.89,1.56,-0.03,-8.89,15635.0,1621.0,0.0,15585.0
306,156.07,1.56,-0.07,1.43,15634.0,1241.0,0.0,15635.0
307,156.73,1.56,-0.07,18.09,15635.0,287.0,0.0,15685.0
308,156.22,1.56,0.02,-5.23,15632.0,126.0,0.0,15735.0
309,156.29,1.56,-0.0,-0.47,15629.0,422.0,0.0,15787.0
310,156.1,1.56,-0.0,-4.97,15629.0,29.0,0.0,15837.0
311,156.5,1.56,-0.03,8.21,15629.0,65286.0,0.0,15887.0
312,156.42,1.56,0.01,1.43,15629.0,65243.0,0.0,15937.0
313,156.35,1.56,0.02,-1.22,15625.0,937.0,0.0,15988.0
314,156.57,1.56,0.01,4.71,15627.0,64844.0,0.0,16038.0
315,156.08,1.56,0.04,-10.64,15627.0,151.0,0.0,16089.0
316,156.22,1.56,-0.02,-1.04,15627.0,65291.0,0.0,16139.0
317,156.66,1.56,-0.02,10.84,15629.0,18.0,0.0,16189.0
318,156.71,1.56,0.03,5.54,15629.0,5.0,0.0,16240.0
319,156.48,1.56,0.06,-3.95,15629.0,64874.0,0.0,16290.0
320,156.43,1.56,0.04,-3.44,15629.0,229.0,0.0,16340.0
321,156.86,1.56,0.02,8.83,15631.0,228.0,0.0,16391.0
322,156.8,1.56,0.07,1.41,15632.0,480.0,0.0,16442.0
323,156.37,1.56,0.07,-10.95,15634.0,668.0,0.0,16492.0
324,156.56,1.56,0.02,-0.23,15637.0,624.0,0.0,16542.0
325,156.92,1.56,0.02,8.69,15642.0,975.0,0.0,16592.0
326,156.84,1.56,0.06,0.82,15646.0,664.0,0.0,16643.0
327,156.53,1.57,0.07,-8.09,15652.0,3.0,0.0,16694.0
328,156.81,1.57,0.03,3.15,15655.0,65311.0,0.0,16744.0
329,156.96,1.57,0.04,4.67,15656.0,65187.0,0.0,16794.0
330,156.98,1.57,0.07,1.63,15656.0,64659.0,0.0,16845.0
331,156.3,1.57,0.07,-17.25,15655.0,64948.0,0.0,16896.0
332,156.35,1.57,-0.01,-6.18,15658.0,65397.0,0.0,16946.0
333,156.91,1.57,-0.04,11.88,15660.0,64.0,0.0,16996.0
334,156.89,1.57,0.02,4.6,15660.0,205.0,0.0,17046.0
335,156.51,1.57,0.04,-8.09,15660.0,82.0,0.0,17097.0
336,156.5,1.57,-0.0,-3.72,15660.0,66.0,0.0,17147.0
337,157.18,1.57,-0.02,15.68,15661.0,203.0,0.0,17198.0
338,156.84,1.57,0.06,-2.49,15663.0,3.0,0.0,17248.0
339,156.51,1.57,0.05,-9.88,15662.0,188.0,0.0,17299.0
340,156.72,1.57,-0.0,0.94,15663.0,282.0,0.0,17349.0
341,156.71,1.57,0.0,0.2,15665.0,65322.0,0.0,17399.0
342,157.11,1.57,0.0,10.09,15664.0,636.0,0.0,17449.0
343,157.08,1.57,0.05,2.96,15665.0,282.0,0.0,17500.0
344,157.07,1.57,0.07,0.26,15665.0,794.0,0.0,17551.0
345,156.1,1.57,0.07,-25.01,15668.0,837.0,0.0,17601.0
346,157.04,1.57,-0.06,13.43,15673.0,880.0,0.0,17651.0
347,156.76,1.57,0.01,-1.47,15681.0,155.0,0.0,17701.0
348,157.37,1.57,0.0,14.76,15678.0,45.0,0.0,17753.0
349,156.67,1.57,0.08,-12.15,15677.0,64852.0,0.0,17803.0
350,156.3,1.57,0.02,-14.74,15675.0,65198.0,0.0,17853.0
351,156.75,1.57,-0.06,5.5,15676.0,65208.0,0.0,17903.0
352,156.85,1.57,-0.03,5.39,15677.0,65495.0,0.0,17954.0
353,156.55,1.57,-0.0,-5.02,15673.0,859.0,0.0,18004.0
354,156.6,1.57,-0.03,-0.64,15672.0,155.0,0.0,18055.0
355,156.19,1.57,-0.03,-10.32,15673.0,10.0,0.0,18105.0
356,157.18,1.57,-0.08,21.39,15671.0,179.0,0.0,18155.0
357,156.73,1.57,0.02,-2.17,15672.0,65095.0,0.0,18206.0
358,156.53,1.57,0.01,-6.13,15666.0,65524.0,0.0,18256.0
359,156.56,1.57,-0.02,-1.66,15666.0,674.0,0.0,18307.0
360,157.06,1.57,-0.03,12.03,15667.0,189.0,0.0,18357.0
361,156.64,1.57,0.03,-5.59,15667.0,65189.0,0.0,18408.0
362,156.22,1.57,0.01,-13.16,15666.0,142.0,0.0,18458.0
363,156.92,1.57,-0.06,12.44,15667.0,611.0,0.0,18508.0
364,156.41,1.57,0.0,-7.23,15667.0,362.0,0.0,18558.0
365,156.61,1.57,-0.03,2.27,15665.0,483.0,0.0,18609.0
366,156.6,1.57,-0.02,1.07,15665.0,437.0,0.0,18660.0
367,156.65,1.57,-0.02,1.88,15664.0,621.0,0.0,18710.0
368,157.08,1.57,-0.01,11.54,15663.0,80.0,0.0,18760.0
369,156.65,1.57,0.05,-6.21,15661.0,810.0,0.0,18810.0
370,156.31,1.57,0.02,-11.38,15663.0,65090.0,0.0,18862.0
371,156.52,1.57,-0.04,0.7,15663.0,96.0,0.0,18912.0
